허브	차량ID	용차	운행시작	운행종료	CAP	배송전차고지주소	배송후차고지주소
1160	600-01		6	18	30	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-03		6	18	35	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-06		6	18	40	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-09		6	18	45	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-11		6	18	25	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-13		6	18	40	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-14		6	18	30	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-16		6	18	50	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-17		6	18	20	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-21		6	18	15	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	600-23		6	18	15	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-1	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-10	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-2	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-3	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-4	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-5	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-6	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-7	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-8	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y1-9	X	6	18	6.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-1	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-2	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-3	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-4	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-5	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-6	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-7	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-8	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y2.5-9	X	6	18	13.9	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-1	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-10	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-2	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-3	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-4	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-5	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-6	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-7	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-8	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
1160	Y5-9	X	6	18	24.8	경기도 파주시 신촌로 59	경기도 파주시 신촌로 59
