허브,고객주문번호,BOX수량,CBM,우편번호,배송지ID,주소,상세주소,위도,경도,행정구역,운영단위명
1160,허브출발,0,0,,,파주Hub,,37.73147568,126.6965419,,
1160,2013047015-10,1,0.033,413779,9189641,경기 파주시 월롱면 덕은리 파주LCD산업단지,P8 7F 3D 프린터실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-1
1160,2013072095-10,1,0.014,413779,9205445,경기 파주시 월롱면 덕은리 파주LCD산업단지,LGDisplay M2동 6층 TV Module 운영관리 Task,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013040721-10,1,0.033,10845,7551260,경기도 파주시 월롱면 엘지로 245 P9 10F Cell제조 사무실,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013058208-290,3,0.099,413779,8669605,경기도 파주시 월롱면 덕은리 파주LCD산업단지,"P9 M6 1F 여자탈의실쪽,김인순",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013043495-10,1,0.176,10845,9188626,경기도 파주시 월롱면 엘지로 245 P9 10F Mobile 검사장비계,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013043494-10,1,0.176,10845,9188626,경기도 파주시 월롱면 엘지로 245 P9 10F Mobile 검사장비계,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2012918950-30,1,0.064,413779,8091763,경기도 파주시 월롱면 덕은리 파주LCD산업단지,LG디스플레이 P7 5층 TV LT 포토계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012918950-20,1,0.064,413779,8091763,경기도 파주시 월롱면 덕은리 파주LCD산업단지,LG디스플레이 P7 5층 TV LT 포토계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012990403-10,1,0.001,413779,8091763,경기도 파주시 월롱면 덕은리 파주LCD산업단지,LG디스플레이 P7 5층 TV LT 포토계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012979066-10,1,0.001,413779,8091763,경기도 파주시 월롱면 덕은리 파주LCD산업단지,LG디스플레이 P7 5층 TV LT 포토계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013027661-10,1,0.014,413779,8091763,경기도 파주시 월롱면 덕은리 파주LCD산업단지,LG디스플레이 P7 5층 TV LT 포토계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
